Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Gestão de Projetos (PMBOK),,0,Gestão de Projetos (PMBOK),2055,2055
Gestão de Projetos (PMBOK),01,1,Noções Introdutórias de Administração ou Gestão de Projetos,392,392
Gestão de Projetos (PMBOK),02,1,Ciclo de Vida de Projetos,171,171
Gestão de Projetos (PMBOK),03,1,Estrutura Organizacional na Gestão de Projetos,58,58
Gestão de Projetos (PMBOK),04,1,O Papel do Gerente de Projetos,53,53
Gestão de Projetos (PMBOK),05,1,PMO - Escritório de Projetos,60,60
Gestão de Projetos (PMBOK),06,1,PMBOK 6ª Edição (Áreas do Conhecimento e Grupos de Processo),773,773
Gestão de Projetos (PMBOK),06.01,2,Conceitos Gerais de Áreas de Conhecimento e Grupos de Processo,134,134
Gestão de Projetos (PMBOK),06.02,2,Áreas de Conhecimento (PMBOK),639,639
Gestão de Projetos (PMBOK),06.02.01,3,Gerenciamento da Integração do Projeto,62,62
Gestão de Projetos (PMBOK),06.02.02,3,Gerenciamento do Escopo do Projeto,108,108
Gestão de Projetos (PMBOK),06.02.03,3,Gerenciamento do Cronograma (Tempo) do Projeto,58,58
Gestão de Projetos (PMBOK),06.02.04,3,Gerenciamento do Custo do Projeto,89,89
Gestão de Projetos (PMBOK),06.02.05,3,Gerenciamento da Qualidade do Projeto,44,44
Gestão de Projetos (PMBOK),06.02.06,3,Gerenciamento dos Recursos do Projeto,27,27
Gestão de Projetos (PMBOK),06.02.07,3,Gerenciamento das Comunicações do Projeto,18,18
Gestão de Projetos (PMBOK),06.02.08,3,Gerenciamento dos Riscos do Projeto,148,148
Gestão de Projetos (PMBOK),06.02.09,3,Gerenciamento das Aquisições do Projeto,20,20
Gestão de Projetos (PMBOK),06.02.10,3,Gerenciamento das Partes Interessadas do Projeto,32,32
Gestão de Projetos (PMBOK),06.02.11,3,Tópicos Mesclados de Áreas de Conhecimento (PMBOK),33,33
Gestão de Projetos (PMBOK),07,1,PMBOK 7ª Edição (Tópicos Específicos),74,49
Gestão de Projetos (PMBOK),07.01,2,Sistema de Entrega de Valor,10,10
Gestão de Projetos (PMBOK),07.02,2,Princípios de Gerenciamento de Projetos,10,10
Gestão de Projetos (PMBOK),07.03,2,Domínios de Desempenho de Projetos,20,20
Gestão de Projetos (PMBOK),07.04,2,Tailoring em Projetos,3,3
Gestão de Projetos (PMBOK),07.05,2,"Modelos, Métodos e Artefatos (Projetos)",6,6
Gestão de Projetos (PMBOK),08,1,Ferramentas e Técnicas de Gestão de Projetos,411,411
Gestão de Projetos (PMBOK),08.01,2,"Diagrama de Redes, PERT, CPM e MDP",124,124
Gestão de Projetos (PMBOK),08.02,2,Gráfico de Gantt,31,31
Gestão de Projetos (PMBOK),08.03,2,EAP - Estrutura Analítica do Projeto,93,93
Gestão de Projetos (PMBOK),08.04,2,"Gestão do Valor Agregado (VA, VP, IDC, IDP, CR etc.)",35,35
Gestão de Projetos (PMBOK),08.05,2,Gestão de Conflitos em Projetos,6,6
Gestão de Projetos (PMBOK),08.06,2,MS Project,23,23
Gestão de Projetos (PMBOK),08.07,2,Outras Ferramentas e Técnicas de Gestão de Projetos,99,99
Gestão de Projetos (PMBOK),09,1,Maturidade em Gestão de Projetos,6,6
Gestão de Projetos (PMBOK),10,1,PRINCE2,11,11
Gestão de Projetos (PMBOK),11,1,Outros Aspectos de Gestão de Projetos,45,45
Gestão de Projetos (PMBOK),12,1,Sem Classificação,1,1
